"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2019-07-20 16:30:00,143.602715974948,144.039920412677,143.821318193812
"FRCH",2019-07-20 16:45:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-20 17:00:00,139.881525467067,142.268571818728,141.075048642898
"FRCH",2019-07-20 17:15:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-20 17:30:00,141.742120721007,144.039920412677,142.891020566842
"FRCH",2019-07-20 17:45:00,139.881525467067,144.039920412677,141.960722939872
"FRCH",2019-07-20 18:00:00,139.881525467067,144.039920412677,141.960722939872
"FRCH",2019-07-20 18:15:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-20 18:30:00,141.742120721007,147.582617600575,144.662369160791
"FRCH",2019-07-20 18:45:00,138.020930213127,142.268571818728,140.144751015928
"FRCH",2019-07-20 19:00:00,143.602715974948,142.268571818728,142.935643896838
"FRCH",2019-07-20 19:15:00,141.742120721007,145.811269006626,143.776694863817
"FRCH",2019-07-20 19:30:00,136.160334959187,145.811269006626,140.985801982907
"FRCH",2019-07-20 19:45:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-20 20:00:00,141.742120721007,147.582617600575,144.662369160791
"FRCH",2019-07-20 20:15:00,141.742120721007,142.268571818728,142.005346269868
"FRCH",2019-07-20 20:30:00,143.602715974948,145.811269006626,144.706992490787
"FRCH",2019-07-20 20:45:00,151.045096990708,147.582617600575,149.313857295642
"FRCH",2019-07-20 21:00:00,149.184501736768,147.582617600575,148.383559668672
"FRCH",2019-07-20 21:15:00,145.463311228888,147.582617600575,146.522964414731
"FRCH",2019-07-20 21:30:00,149.184501736768,149.353966194524,149.269233965646
"FRCH",2019-07-20 21:45:00,147.323906482828,152.896663382423,150.110284932625
"FRCH",2019-07-20 22:00:00,145.463311228888,149.353966194524,147.408638711706
"FRCH",2019-07-20 22:15:00,151.045096990708,151.125314788473,151.085205889591
"FRCH",2019-07-20 22:30:00,147.323906482828,147.582617600575,147.453262041702
"FRCH",2019-07-20 22:45:00,147.323906482828,151.125314788473,149.224610635651
"FRCH",2019-07-20 23:00:00,149.184501736768,147.582617600575,148.383559668672
"FRCH",2019-07-20 23:15:00,147.323906482828,149.353966194524,148.338936338676
"FRCH",2019-07-20 23:30:00,147.323906482828,151.125314788473,149.224610635651
"FRCH",2019-07-20 23:45:00,145.463311228888,149.353966194524,147.408638711706
"FRCH",2019-07-21 00:00:00,149.184501736768,149.353966194524,149.269233965646
"FRCH",2019-07-21 00:15:00,141.742120721007,147.582617600575,144.662369160791
"FRCH",2019-07-21 00:30:00,143.602715974948,147.582617600575,145.592666787761
"FRCH",2019-07-21 00:45:00,143.602715974948,149.353966194524,146.478341084736
"FRCH",2019-07-21 01:00:00,143.602715974948,147.582617600575,145.592666787761
"FRCH",2019-07-21 01:15:00,143.602715974948,149.353966194524,146.478341084736
